Year,Round,Region Number,Region Name,Seed,ScoreA,TeamA,TeamB,ScoreB,Seed,teamDiff,oppDiff
2014,1,1,South,5,75,VCU,Stephen F Austin,77,12,-2,2
2014,1,1,South,6,59,Ohio St,Dayton,60,11,-1,1
2014,1,1,South,7,53,New Mexico,Stanford,58,10,-5,5
2014,1,1,South,8,48,Colorado,Pittsburgh,77,9,-29,29
2014,1,2,East,1,70,Virginia,Coastal Carolina,59,16,11,-11
2014,1,2,East,2,73,Villanova,Wisconsin Milwaukee,53,15,20,-20
2014,1,2,East,3,93,Iowa St,North Carolina Central,75,14,18,-18
2014,1,2,East,4,93,Michigan St,Delaware,78,13,15,-15
2014,1,2,East,5,57,Cincinnati,Harvard,61,12,-4,4
2014,1,2,East,6,79,North Carolina,Providence,77,11,2,-2
2014,1,2,East,7,89,Connecticut,St Josephs,81,10,8,-8
2014,1,2,East,8,71,Memphis,George Washington,66,9,5,-5
2014,1,3,West,1,88,Arizona,Weber St,59,16,29,-29
2014,1,3,West,2,75,Wisconsin,American,35,15,40,-40
2014,1,3,West,3,76,Creighton,Louisiana Lafayette,66,14,10,-10
2014,1,3,West,4,73,San Diego St,New Mexico St,69,13,4,-4
2014,1,3,West,5,75,Oklahoma,North Dakota St,80,12,-5,5
2014,1,3,West,6,74,Baylor,Nebraska,60,11,14,-14
2014,1,3,West,7,87,Oregon,BYU,68,10,19,-19
2014,1,3,West,8,85,Gonzaga,Oklahoma St,77,9,8,-8
2014,1,4,Midwest,1,64,Wichita St,Cal Poly,37,16,27,-27
2014,1,4,Midwest,2,57,Michigan,Wofford,40,15,17,-17
2014,1,4,Midwest,3,71,Duke,Mercer,78,14,-7,7
2014,1,4,Midwest,4,71,Louisville,Manhattan,64,13,7,-7
2014,1,4,Midwest,5,83,St Louis,NC State,80,12,3,-3
2014,1,4,Midwest,6,67,Massachusetts,Tennessee,86,11,-19,19
2014,1,4,Midwest,7,87,Texas,Arizona St,85,10,2,-2
2014,1,4,Midwest,8,56,Kentucky,Kansas St,49,9,7,-7
2014,2,1,South,1,61,Florida,Pittsburgh,45,9,16,-16
2014,2,1,South,2,57,Kansas,Stanford,60,10,-3,3
2014,2,1,South,3,53,Syracuse,Dayton,55,11,-2,2
2014,2,1,South,4,77,UCLA,Stephen F Austin,60,12,17,-17
2014,2,2,East,1,78,Virginia,Memphis,60,8,18,-18
2014,2,2,East,2,65,Villanova,Connecticut,77,7,-12,12
2014,2,2,East,3,85,Iowa St,North Carolina,83,6,2,-2
2014,2,2,East,4,80,Michigan St,Harvard,73,12,7,-7
2014,2,3,West,1,84,Arizona,Gonzaga,81,8,3,-3
2014,2,3,West,2,85,Wisconsin,Oregon,77,7,8,-8
2014,2,3,West,3,55,Creighton,Baylor,85,6,-30,30
2014,2,3,West,4,63,San Diego St,North Dakota St,44,12,19,-19
2014,2,4,Midwest,1,76,Wichita St,Kentucky,78,8,-2,2
2014,2,4,Midwest,2,79,Michigan,Texas,65,7,14,-14
2014,2,4,Midwest,14,63,Mercer,Tennessee,83,11,-20,20
2014,2,4,Midwest,4,66,Louisville,St Louis,51,5,15,-15
2014,3,1,South,1,79,Florida,UCLA,68,4,11,-11
2014,3,1,South,10,72,Stanford,Dayton,82,11,-10,10
2014,3,2,East,1,59,Virginia,Michigan St,61,4,-2,2
2014,3,2,East,7,81,Connecticut,Iowa St,76,3,5,-5
2014,3,3,West,1,70,Arizona,San Diego St,64,4,6,-6
2014,3,3,West,2,69,Wisconsin,Baylor,52,6,17,-17
